id,webpage,fingerprint
690,shaparak.ir,1D:C7:E0:70:50:7B:84:4B:FF:C9:4E:FE:6E:8C:6D:48:8D:B6:A2:0A:53:13:09:28:98:F4:E8:A6:37:4B:1D:01
698,le.com,66:01:69:C2:47:73:28:DB:92:02:09:03:A3:E9:70:EB:88:13:2D:84:B4:4A:1D:5E:4E:E1:87:58:41:72:68:A9
704,nikkeibp.co.jp,9F:0D:83:4E:4B:DD:D9:CB:46:02:EC:5C:67:EC:0E:72:52:1A:45:42:9C:72:F6:59:FA:D0:11:CD:05:92:E1:4F
714,ibm.com,2A:28:A6:69:E7:6D:C4:00:7A:2A:ED:E7:8D:CF:49:DA:90:C0:EF:82:35:5F:7C:19:2F:1A:66:A6:5F:55:60:8B
745,104.com.tw,5B:ED:3F:0A:C0:E3:F7:E4:45:3E:65:FC:43:B2:91:6E:A2:2E:03:AA:90:E7:B1:FA:6C:F3:CA:8C:13:DE:C8:DC
787,microsoftstore.com,AF:74:1E:87:3C:38:66:AF:45:94:D2:D3:8B:2F:BE:5C:4A:10:80:FE:AD:25:1D:C4:34:54:48:0C:18:80:BF:F2
790,bhphotovideo.com,E7:6D:44:A4:3A:28:2E:7C:70:84:FA:4A:1D:3E:01:DC:8E:E6:93:A2:B8:DA:08:E7:12:7A:68:C7:89:55:1A:FB
802,syosetu.com,F4:9F:3A:6D:78:32:7F:8E:B7:E6:1A:2D:2B:77:BE:1F:8E:13:5F:D8:CF:D5:D0:D2:14:E7:1A:39:F8:FD:42:0F
812,exblog.jp,78:DB:E3:18:54:62:25:89:0A:DA:9D:39:0C:A0:82:9C:39:9D:39:3E:8D:3B:11:EF:91:41:40:A1:1D:27:64:8E
854,tim.it,A0:6A:32:3F:09:87:7A:4B:DF:14:32:37:68:05:41:98:3A:D6:23:BB:7F:4F:A2:DC:62:C4:78:41:4C:D2:2A:75
898,iplt20.com,67:08:97:45:B1:E8:DB:18:42:06:02:F1:9D:85:43:EC:27:22:AD:BC:2D:93:DB:06:4D:DA:C1:3B:1A:1E:C2:1F
899,fanfiction.net,C2:57:95:78:39:B7:14:7B:76:08:9B:EB:58:99:30:FB:E4:1D:3E:7B:D4:F6:C2:F0:35:F3:FE:82:7D:6B:27:FA
900,zara.com,93:DE:24:4E:1C:9D:57:2E:64:FF:51:D4:FD:E7:5A:CD:7F:9B:3D:30:F7:5A:B3:75:D9:10:7B:25:0C:2D:02:7D
903,hepsiburada.com,E7:CF:39:4D:AF:BD:96:69:C9:4E:47:BD:EB:0E:FC:38:6B:C5:B6:6B:0D:97:B9:FF:FF:1D:BE:B1:0F:75:C5:75
908,springer.com,D7:9A:B0:E9:16:78:FD:78:F0:B6:79:08:8F:FA:D3:48:7C:FE:B2:C7:88:C7:FC:0B:BF:32:14:AA:71:8F:5A:D3
910,360doc.com,10:4A:DB:8F:62:63:21:B4:27:21:67:BD:0A:E4:CA:13:D3:26:64:6A:DB:49:E8:9B:79:33:03:C0:08:62:46:31
912,apache.org,E0:5D:55:7F:23:4D:A0:95:2D:7D:03:0F:61:62:66:DB:7B:F3:8C:44:D4:D6:F8:3E:7A:82:6F:36:B1:BD:12:E4
918,excite.co.jp,38:58:16:A3:14:D7:CF:E7:F0:26:C0:5E:A5:05:3B:3B:5D:52:82:78:20:4A:3C:D0:C8:D8:CB:A3:37:B2:FD:F2
947,lemonde.fr,E9:2D:0A:C2:8A:DD:73:97:0F:E8:98:5E:24:65:0C:F1:16:F0:16:77:41:99:18:65:B3:F8:3F:FD:37:E8:C1:72
